ranking_date,rank,player,points
19900101,1,100656,2913
19900101,2,101414,2279
19900101,3,101222,2111
19900101,4,100763,1398
19900101,5,100581,1354
19900101,6,102021,1328
19900101,7,101381,1217
19900101,8,101736,1160
19900101,9,101309,1039
19900101,10,101606,1024
19900101,11,101073,945
19900101,12,100689,871
19900101,13,101062,780
19900101,14,100653,742
19900101,15,101391,738
19900101,16,100284,733
19900101,17,101142,706
19900101,18,101511,695
19900101,19,101230,688
19900101,20,100529,684
19900101,21,100676,647
19900101,22,101793,632
19900101,23,101036,613
19900101,24,100870,591
19900101,25,101843,591
19900101,26,101409,583
19900101,27,100829,579
19900101,28,101084,548
19900101,29,101964,532
19900101,30,101649,528
19900101,31,101026,527
19900101,32,101320,505
19900101,33,101063,499
19900101,34,101404,496
19900101,35,101086,483
19900101,36,100923,482
19900101,37,100772,473
19900101,38,101382,464
19900101,39,101195,463
19900101,40,100757,445
19900101,41,101298,445
19900101,42,101124,437
19900101,43,101030,430
19900101,44,100954,424
19900101,45,101439,421
19900101,46,100810,419
19900101,47,101190,414
19900101,48,101117,384
19900101,49,101334,367
19900101,50,101609,367
19900101,51,100901,361
19900101,52,100855,357
19900101,53,100972,352
19900101,54,101481,348
19900101,55,101098,347
19900101,56,101004,347
19900101,57,101337,347
19900101,58,101191,341
19900101,59,101507,332
19900101,60,100944,330
19900101,61,101948,321
19900101,62,100752,313
19900101,63,101440,306
19900101,64,100809,306
19900101,65,101080,304
19900101,66,101354,302
19900101,67,101393,301
19900101,68,100628,297
19900101,69,101120,291
19900101,70,101820,290
19900101,71,101232,290
19900101,72,101185,286
19900101,73,101772,285
19900101,74,101179,283
19900101,75,100990,283
19900101,76,101235,280
19900101,77,100967,275
19900101,78,101686,275
19900101,79,101196,273
19900101,80,101434,271
19900101,81,100532,268
19900101,82,100946,268
19900101,83,100747,265
19900101,84,101131,264
19900101,85,101106,263
19900101,86,101066,262
19900101,87,100844,256
19900101,88,101061,256
19900101,89,100837,248
19900101,90,101344,247
19900101,91,101727,245
19900101,92,101809,245
19900101,93,100618,242
19900101,94,100920,242
19900101,95,101071,242
19900101,96,101234,236
19900101,97,101233,236
19900101,98,101178,231
19900101,99,100800,229
19900101,100,101387,224
19900101,101,100894,222
19900101,102,101119,221
19900101,103,100652,221
19900101,104,100631,220
19900101,105,101421,218
19900101,106,101264,217
19900101,107,100713,217
19900101,108,101735,217
19900101,109,100942,217
19900101,110,100607,216
19900101,111,101358,216
19900101,112,101238,216
19900101,113,101529,215
19900101,114,101971,213
19900101,115,101256,211
19900101,116,101377,210
19900101,117,101022,204
19900101,118,101274,204
19900101,119,101276,202
19900101,120,101284,197
19900101,121,101050,197
19900101,122,101332,197
19900101,123,100536,197
19900101,124,101243,193
19900101,125,101460,191
19900101,126,101500,185
19900101,127,101096,182
19900101,128,101462,182
19900101,129,101205,181
19900101,130,101717,178
19900101,131,101767,172
19900101,132,100815,171
19900101,133,100939,170
19900101,134,101482,168
19900101,135,101900,168
19900101,136,100864,165
19900101,137,101251,164
19900101,138,101374,163
19900101,139,100962,162
19900101,140,100740,162
19900101,141,101109,161
19900101,142,100551,159
19900101,143,100570,158
19900101,144,100936,157
19900101,145,101126,157
19900101,146,100714,157
19900101,147,101150,156
19900101,148,101154,155
19900101,149,101889,154
19900101,150,100956,153
19900101,151,101242,152
19900101,152,100836,152
19900101,153,101031,148
19900101,154,101318,147
19900101,155,100876,146
19900101,156,101543,146
19900101,157,101731,146
19900101,158,101451,146
19900101,159,101226,145
19900101,160,100759,141
19900101,161,100896,139
