ranking_date,rank,player,points
19801222,1,100437,
19801222,2,100581,
19801222,3,100284,
19801222,4,100282,
19801222,5,100428,
19801222,6,100656,
19801222,7,100286,
19801222,8,100555,
19801222,9,100342,
19801222,10,100586,
19801222,11,100261,
19801222,12,100232,
19801222,13,100255,
19801222,14,100446,
19801222,15,100280,
19801222,16,100339,
19801222,17,100360,
19801222,18,100532,
19801222,19,100321,
19801222,20,100144,
19801222,21,100676,
19801222,22,100332,
19801222,23,100297,
19801222,23,100434,
19801222,25,100579,
19801222,26,100452,
19801222,27,100611,
19801222,28,100126,
19801222,29,100300,
19801222,30,100417,
19801222,31,100395,
19801222,32,100214,
19801222,33,100356,
19801222,34,100309,
19801222,35,100362,
19801222,36,100273,
19801222,37,100769,
19801222,38,100403,
19801222,39,100383,
19801222,40,100203,
19801222,41,100655,
19801222,42,100502,
19801222,43,100285,
19801222,44,100653,
19801222,45,100376,
19801222,46,100252,
19801222,47,100372,
19801222,48,100486,
19801222,49,100380,
19801222,50,100393,
19801222,51,100276,
19801222,52,100272,
19801222,53,100345,
19801222,53,100752,
19801222,56,100099,
19801222,57,100515,
19801222,58,100173,
19801222,58,100174,
19801222,60,100354,
19801222,61,100600,
19801222,62,100221,
19801222,64,100253,
19801222,65,100411,
19801222,66,100474,
19801222,67,100453,
19801222,68,100667,
19801222,69,100249,
19801222,70,100536,
19801222,71,107413,
19801222,72,100535,
19801222,73,100526,
19801222,74,100402,
19801222,75,100315,
19801222,76,100326,
19801222,77,100259,
19801222,78,100630,
19801222,79,100119,
19801222,79,100422,
19801222,81,100456,
19801222,82,100443,
19801222,83,100607,
19801222,84,100116,
19801222,85,100631,
19801222,86,100115,
19801222,86,100394,
19801222,88,100228,
19801222,89,100392,
19801222,90,100585,
19801222,91,100060,
19801222,92,100346,
19801222,92,100375,
19801222,94,100477,
19801222,95,100091,
19801222,96,100436,
19801222,96,100592,
19801222,98,100492,
19801222,99,100368,
19801222,100,100135,
19801222,101,100271,
19801222,102,100337,
19801222,103,100468,
19801222,104,100211,
19801222,104,100498,
19801222,106,100440,
19801222,107,100084,
19801222,108,100506,
19801222,109,100421,
19801222,110,100543,
19801222,111,100244,
19801222,112,100121,
19801222,113,100942,
19801222,114,100177,
19801222,115,100551,
19801222,115,100764,
19801222,115,100821,
19801222,118,100270,
19801222,118,100460,
19801222,118,100461,
19801222,121,100397,
19801222,122,100210,
19801222,123,100281,
19801222,124,100499,
19801222,125,100463,
19801222,125,100711,
19801222,127,100598,
19801222,128,100200,
19801222,128,100274,
19801222,130,100364,
19801222,130,100636,
19801222,132,100220,
19801222,133,100336,
19801222,134,100243,
19801222,135,100319,
19801222,136,100713,
19801222,137,100699,
19801222,138,100229,
19801222,140,100073,
19801222,141,100292,
19801222,142,100640,
19801222,143,100176,
19801222,144,100545,
19801222,145,100430,
19801222,146,100199,
19801222,146,100201,
19801222,146,100298,
19801222,146,100483,
19801222,150,100289,
19801222,151,100160,
19801222,151,100518,
19801222,153,100449,
19801222,154,100367,
19801222,155,100599,
19801222,156,100127,
19801222,157,100481,
19801222,158,100185,
19801222,158,100322,
19801222,158,100496,
19801222,161,100413,
19801222,162,100266,
19801222,163,100257,
19801222,164,100198,
19801222,164,100314,
19801222,166,100219,
19801222,167,100265,
19801222,167,100325,
19801222,169,100451,
19801222,170,100488,
19801222,171,100230,
19801222,171,100689,
19801222,173,100155,
19801222,175,100384,
19801222,175,100495,
19801222,177,100308,
19801222,178,100163,
19801222,178,100405,
19801222,180,100231,
19801222,180,100799,
19801222,182,100757,
19801222,182,107000,
19801222,184,100603,
19801222,185,100287,
19801222,185,100447,
19801222,185,100550,
19801222,188,100171,
19801222,189,100186,
19801222,189,100279,
19801222,189,100905,
19801222,192,100525,
19801222,193,100726,
19801222,194,100240,
19801222,194,100438,
19801222,196,100415,
19801222,197,100450,
19801222,198,100605,
19801222,198,108505,
19801222,200,100409,
19801222,200,100530,
19801222,202,100429,
19801222,203,100182,
19801222,203,100258,
19801222,203,100268,
19801222,203,100401,
19801222,203,100519,
19801222,203,100701,
19801222,209,100236,
19801222,209,100497,
19801222,211,100407,
19801222,211,100444,
19801222,211,100800,
19801222,214,100464,
19801222,215,100238,
19801222,215,100651,
19801222,217,100197,
19801222,218,100038,
19801222,219,100562,
19801222,219,100715,
19801222,221,100113,
19801222,222,100501,
19801222,223,100293,
19801222,224,100510,
19801222,224,100659,
19801222,224,100673,
19801222,227,100385,
19801222,227,100504,
19801222,227,100505,
19801222,227,100520,
19801222,227,100681,
19801222,232,100241,
19801222,232,100485,
19801222,232,100538,
19801222,232,100572,
19801222,232,100615,
19801222,232,100868,
19801222,238,100179,
19801222,239,100475,
19801222,239,100661,
19801222,241,100288,
19801222,241,100398,
19801222,241,100416,
19801222,241,106702,
19801222,245,100359,
19801222,245,100378,
19801222,245,100564,
19801222,245,100803,
19801222,249,100448,
19801222,249,100517,
19801222,249,100546,
19801222,249,100781,
19801222,249,106629,
19801222,249,108459,
19801222,255,100016,
19801222,255,100166,
19801222,255,100331,
19801222,255,100344,
19801222,255,100442,
19801222,255,100652,
19801222,255,100700,
19801222,255,101061,
19801222,255,106447,
19801222,264,100324,
19801222,264,100557,
19801222,264,100577,
19801222,264,100616,
19801222,268,100382,
19801222,269,100146,
19801222,269,100301,
19801222,269,100377,
19801222,269,100570,
19801222,269,100719,
19801222,274,100216,
19801222,274,100224,
19801222,274,100334,
19801222,274,100353,
19801222,274,100439,
19801222,274,100829,
19801222,274,107649,
19801222,283,100148,
19801222,283,100202,
19801222,283,100318,
19801222,283,100597,
19801222,283,100639,
19801222,283,101062,
19801222,283,106715,
19801222,283,107425,
19801222,283,108481,
19801222,292,100310,
19801222,292,100410,
19801222,292,100465,
19801222,292,100565,
19801222,292,100604,
19801222,292,100730,
19801222,292,107621,
19801222,292,107738,
19801222,292,108268,
19801222,292,108453,
19801222,302,100425,
19801222,302,100490,
19801222,302,100508,
19801222,302,100523,
19801222,302,100671,
19801222,302,106537,
19801222,302,106950,
19801222,309,100090,
19801222,309,100215,
19801222,309,100227,
19801222,309,100500,
19801222,309,100609,
19801222,309,100704,
19801222,309,100732,
19801222,309,100782,
19801222,309,100789,
19801222,309,100878,
19801222,309,101046,
19801222,309,106551,
19801222,309,106913,
19801222,309,107527,
19801222,309,107840,
19801222,309,108580,
19801222,324,100472,
19801222,325,100246,
19801222,325,100328,
19801222,325,100369,
19801222,325,100489,
19801222,325,100512,
19801222,325,100727,
19801222,325,100749,
19801222,325,100844,
19801222,333,100690,
19801222,333,100899,
19801222,335,100088,
19801222,335,100427,
19801222,335,100625,
19801222,335,100663,
19801222,335,100678,
19801222,335,106610,
19801222,335,107298,
19801222,335,107420,
19801222,335,108405,
19801222,344,100365,
19801222,344,100374,
19801222,344,100467,
19801222,344,100516,
19801222,344,100573,
19801222,344,100622,
19801222,344,100638,
19801222,344,100765,
19801222,344,106671,
19801222,344,107157,
19801222,344,107400,
19801222,344,107939,
19801222,356,100109,
19801222,356,100323,
19801222,356,100343,
19801222,356,100412,
19801222,356,100533,
19801222,356,100547,
19801222,356,100608,
19801222,356,106945,
19801222,356,107328,
19801222,365,100118,
19801222,365,100223,
19801222,365,100357,
19801222,365,100379,
19801222,365,100387,
19801222,365,100541,
19801222,365,100922,
19801222,372,100058,
19801222,372,100247,
19801222,372,100333,
19801222,372,100341,
19801222,372,100583,
19801222,372,100657,
19801222,372,100738,
19801222,372,100837,
19801222,372,100950,
19801222,372,106971,
19801222,372,108327,
19801222,383,100083,
19801222,383,100406,
19801222,383,100473,
19801222,383,100624,
19801222,383,106623,
19801222,383,106905,
19801222,383,107518,
19801222,390,100348,
19801222,390,100363,
19801222,390,100567,
19801222,390,100682,
19801222,390,100753,
19801222,390,100762,
19801222,390,107297,
19801222,390,107448,
19801222,390,107626,
19801222,390,107756,
19801222,390,107880,
19801222,390,108133,
19801222,390,108253,
19801222,403,100043,
19801222,403,100184,
19801222,403,100291,
19801222,403,100445,
19801222,403,100479,
19801222,403,100593,
19801222,403,100596,
19801222,403,100645,
19801222,403,100772,
19801222,403,106531,
19801222,403,106768,
19801222,403,106848,
19801222,403,106911,
19801222,403,107544,
19801222,403,107557,
19801222,403,107630,
19801222,403,107699,
19801222,403,107997,
19801222,403,108025,
19801222,403,108130,
19801222,423,100055,
19801222,423,100062,
19801222,423,100435,
19801222,423,100642,
19801222,423,100649,
19801222,423,100679,
19801222,423,100923,
19801222,423,106662,
